a280;1;93.10;586
bier127;1;4.71;232
brg180;1;39.12;345
fl417;0;600;0
gr229;1;44.03;469
lin318;1;211.34;709
pcb442;0;600;0
pr107;1;3.31;252
pr152;1;16.88;437
rat195;1;162.07;671
